Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,9,0,0,31.67,53.42,6.169152,170,0,0,0,0,126.52
2022,7,9,1,0,30.56,59.09,3.598672,170,0,0,0,0,126.57
2022,7,9,2,0,28.89,69.59,3.084576,190,0,0,0,0,122.86
2022,7,9,3,0,28.33,74.33,2.57048,190,0,0,0,0,116.06
2022,7,9,4,0,27.22,79.06,3.084576,210,0,0,0,0,107.03
2022,7,9,5,0,26.67,81.42,2.57048,210,0,0,0,0,96.51
2022,7,9,6,0,26.67,81.42,2.57048,210,0,47,164,32,84.85
2022,7,9,7,0,26.67,84.47,3.084576,220,0,225,497,78,72.8
2022,7,9,8,0,27.78,81.82,3.598672,230,0,433,663,103,60.25
2022,7,9,9,0,30,69.8,5.655056,240,0,633,769,113,47.45
2022,7,9,10,0,32.22,59.26,6.169152,260,0,800,820,125,34.56
2022,7,9,11,0,33.89,50.61,4.626864,250,0,919,848,132,21.88
2022,7,9,12,0,36.11,41.8,4.112768,270,0,989,889,115,10.79
2022,7,9,13,0,36.67,39.19,5.14096,210,0,989,889,115,10.59
2022,7,9,14,0,38.33,36.01,3.598672,208.3333333,0,928,878,112,21.59
2022,7,9,15,0,38.89,31.31,2.056384,206.6666667,0,810,852,106,34.26
2022,7,9,16,0,41.11,27.79,2.57048,205,0,644,803,97,47.15
2022,7,9,17,0,40,29.49,3.084576,203.3333333,0,445,718,86,59.97
2022,7,9,18,0,40.56,28.54,3.598672,201.6666667,0,235,560,67,72.53
2022,7,9,19,0,40.56,28.54,4.112768,200,0,52,234,30,84.61
2022,7,9,20,0,38.89,31.31,2.57048,200,0,0,0,0,96.29
2022,7,9,21,0,36.67,36.34,1.542288,180,0,0,0,0,106.86
2022,7,9,22,0,34.44,42.93,1.799336,185,0,0,0,0,115.95
2022,7,9,23,0,33.33,45.69,2.056384,190,0,0,0,0,122.83
