%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 194 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 56.92 30.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 194 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 61.20 30.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 194 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 65.26 28.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 194 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 69.71 28.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 194 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 71.78 27.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 194 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 76.70 27.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 194 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 78.99 26.67 -999.00 0.00 41.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 31.00 123.00 165.00
2022 194 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 84.41 26.11 -999.00 0.00 215.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 89.00 435.00 170.00
2022 194 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 79.47 28.33 -999.00 0.00 421.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 123.00 606.00 190.00
2022 194 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 71.93 30.00 -999.00 0.00 619.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 147.00 702.00 190.00
2022 194 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 55.72 32.78 -999.00 0.00 786.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 161.00 761.00 200.00
2022 194 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 44.45 35.00 -999.00 0.00 909.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 165.00 803.00 200.00
2022 194 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 39.03 36.11 -999.00 0.00 974.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 161.00 829.00 200.00
2022 194 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 35.63 37.78 -999.00 0.00 910.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 367.00 553.00 162.50
2022 194 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 31.60 40.00 -999.00 0.00 709.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 496.00 229.00 125.00
2022 194 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 29.45 40.56 -999.00 0.00 325.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 323.00 2.00 87.50
2022 194 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 27.50 40.00 -999.00 0.00 476.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 370.00 157.00 50.00
2022 194 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 28.54 40.56 -999.00 0.00 426.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 124.00 607.00 150.00
2022 194 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 28.54 40.56 -999.00 0.00 222.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 89.00 446.00 180.00
2022 194 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 30.47 39.44 -999.00 0.00 46.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 33.00 153.00 140.00
2022 194 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.73963 44.74 36.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 150.00
2022 194 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 49.09 33.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 194 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 53.87 32.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 194 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 61.24 31.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
