timestamp,TEMP (C),RH (%),Wind Speed,Wind Direction,GHI (w/m2),DNI (w/m2),DHI (w/m2)
2022-07-03-00,30,67.27,6.169152,170,0,0,0
2022-07-03-01,28.89,74.43,6.683248,180,0,0,0
2022-07-03-02,28.33,79.47,5.14096,180,0,0,0
2022-07-03-03,27.78,81.82,4.626864,180,0,0,0
2022-07-03-04,27.22,84.53,4.112768,170,0,0,0
2022-07-03-05,26.67,87.05,3.084576,180,0,0,0
2022-07-03-06,26.11,90.25,2.056384,180,52,162,36
2022-07-03-07,26.11,90.25,1.542288,130,232,508,78
2022-07-03-08,27.22,84.53,3.598672,190,444,693,95
2022-07-03-09,29.44,74.51,5.14096,190,644,790,105
2022-07-03-10,30.56,63.02,3.084576,200,811,844,112
2022-07-03-11,32.78,52.25,6.169152,220,931,875,116
2022-07-03-12,33.89,47.28,2.056384,200,992,884,122
2022-07-03-13,35.56,41.66,2.57048,180,993,884,123
2022-07-03-14,35.56,40.12,5.14096,160,930,870,120
2022-07-03-15,37.22,34.27,5.14096,200,810,840,116
2022-07-03-16,38.33,32.36,4.626864,220,644,790,107
2022-07-03-17,38.33,31.14,2.57048,190,446,705,92
2022-07-03-18,38.33,31.14,6.683248,150,237,547,71
2022-07-03-19,37.78,29.94,5.14096,130,54,221,32
2022-07-03-20,37.22,34.27,5.655056,150,0,0,0
2022-07-03-21,34.44,44.59,6.169152,170,0,0,0
2022-07-03-22,32.78,48.8,6.169152,170,0,0,0
2022-07-03-23,31.11,57.43,7.71144,170,0,0,0
2022-07-04-00,30,65.27,5.655056,180,0,0,0
2022-07-04-01,28.89,69.59,5.14096,180,0,0,0
2022-07-04-02,27.78,76.53,4.112768,180,0,0,0
2022-07-04-03,26.67,84.47,2.57048,190,0,0,0
2022-07-04-04,26.11,84.41,2.57048,200,0,0,0
2022-07-04-05,26.11,87.58,3.084576,180,0,0,0
2022-07-04-06,25.56,86.95,2.57048,190,54,194,35
2022-07-04-07,25.56,90.21,2.056384,190,238,534,76
2022-07-04-08,26.67,87.05,3.084576,200,451,712,94
2022-07-04-09,28.33,79.47,4.112768,190,654,810,103
2022-07-04-10,31.67,59.15,6.169152,180,821,861,109
2022-07-04-11,32.78,50.33,5.14096,180,940,889,113
2022-07-04-12,33.89,44.15,3.598672,170,1002,902,114
2022-07-04-13,35,39.95,4.112768,230,1000,899,116
2022-07-04-14,37.22,34.27,6.683248,140,936,885,113
2022-07-04-15,37.78,32,5.655056,200,817,859,106
2022-07-04-16,37.78,32,7.197344,160,382,70,334
2022-07-04-17,38.33,31.14,4.626864,130,451,732,84
2022-07-04-18,38.33,30.18,6.683248,150,240,579,66
2022-07-04-19,37.22,31.96,6.683248,150,55,261,30
2022-07-04-20,36.67,31.71,5.14096,160,0,0,0
2022-07-04-21,33.89,37.1,3.598672,180,0,0,0
2022-07-04-22,32.78,43.85,5.14096,180,0,0,0
2022-07-04-23,31.67,49.88,5.14096,170,0,0,0
2022-07-05-00,30,63.1,5.14096,180,0,0,0
2022-07-05-01,28.89,69.59,5.655056,180,0,0,0
2022-07-05-02,27.78,79.4,4.626864,170,0,0,0
2022-07-05-03,27.22,82.03,3.598672,180,0,0,0
2022-07-05-04,26.11,87.58,3.084576,190,0,0,0
2022-07-05-05,25.56,90.21,2.056384,190,0,0,0
2022-07-05-06,25.56,90.21,2.57048,180,53,193,34
2022-07-05-07,25.56,90.21,2.056384,180,238,549,73
2022-07-05-08,26.67,87.05,2.056384,200,453,731,88
2022-07-05-09,27.78,81.82,3.598672,210,655,821,97
2022-07-05-10,30,63.1,5.655056,220,822,869,104
2022-07-05-11,32.22,51.93,5.655056,190,943,896,109
2022-07-05-12,33.33,47.45,5.655056,210,1001,895,120
2022-07-05-13,35,41.5,6.169152,190,1000,894,120
2022-07-05-14,36.11,37.58,4.112768,170,936,879,118
2022-07-05-15,36.67,36.34,5.655056,200,811,829,126
2022-07-05-16,37.78,33.25,2.056384,200,643,773,117
2022-07-05-17,37.78,32,5.14096,200,443,677,104
